name,title,lobbyist_type,client,lobbyist_status,start_date,end_date,lobbyist_street_address_1,lobbyist_street_address_2,lobbyist_city,lobbyist_region,lobbyist_country,lobbyist_postal_code,client_street_address_1,client_street_address_2,client_city,client_region,client_country,client_postal_code,subject_matter_category,subject_matter_status,activity_description,public_office_holders
Larry Di Ianni,Owner,Consultant,LDi Consulting,Active,2016-06-07,2017-06-06,21 King St. W,5th Floor,Hamilton,ON,Canada,L8P 4W7,500-100 Burloak Dr,,Burlington,ON,Canada,L7L 6B2,Environment,Expired,Providing information regarding Terrapure Environmental and their Upper Stoney Creek Regional Facility related to the EA application to reconfigure back to the site's original approved MoECC footprint.,"[{'name': 'Eisenberger, Fred', 'title': 'Mayor'}, {'name': 'Johnson, Aidan', 'title': 'Councillor'}, {'name': 'Farr, Jason', 'title': 'Councillor'}, {'name': 'Merulla, Sam', 'title': 'Councillor'}, {'name': 'Collins, Chad', 'title': 'Councillor'}, {'name': 'Jackson, Tom', 'title': 'Councillor'}, {'name': 'Skelly, Donna', 'title': 'Councillor'}, {'name': 'Whitehead, Terry', 'title': 'Councillor'}, {'name': 'Pearson, Maria', 'title': 'Councillor'}, {'name': 'Johnson, Brenda', 'title': 'Councillor'}, {'name': 'Ferguson, Lloyd', 'title': 'Councillor'}, {'name': 'Green, Matthew', 'title': 'Councillor'}, {'name': 'Pasuta, Robert', 'title': 'Councillor'}, {'name': 'VanderBeek, Arlene', 'title': 'Councillor'}, {'name': 'Partridge, Judi', 'title': 'Councillor'}, {'name': 'Conley, Doug', 'title': 'Councillor'}, {'name': 'Thorne, Jason', 'title': 'General Manager, Planning and Economic Development'}, {'name': 'Murray, Chris', 'title': 'City Manager'}]"
Joey Coleman,Journalist/Publisher,In-house,ThePublicRecord.ca,Active,2016-05-31,2017-05-30,126 Catharine Street North,,Hamilton,ON,Canada,L8R 1J5,126 Catharine Street North,,Hamilton,ON,Canada,L8R1C9,Information Technology,Expired,"Matters of Internet Infrastructure and Access in Hamilton. . As there is a financial interest in the City begin connected with high quality internet , which promotes a free press, I'm registering in accordance with the Bylaw.","[{'name': 'Murray, Chris', 'title': 'City Manager'}, {'name': 'Johnson, Aidan', 'title': 'Councillor'}, {'name': 'Farr, Jason', 'title': 'Councillor'}, {'name': 'Green, Matthew', 'title': 'Councillor'}, {'name': 'Merulla, Sam', 'title': 'Councillor'}, {'name': 'Collins, Chad', 'title': 'Councillor'}, {'name': 'Jackson, Tom', 'title': 'Councillor'}, {'name': 'Skelly, Donna', 'title': 'Councillor'}, {'name': 'Whitehead, Terry', 'title': 'Councillor'}, {'name': 'Conley, Doug', 'title': 'Councillor'}, {'name': 'Pearson, Maria', 'title': 'Councillor'}, {'name': 'Johnson, Brenda', 'title': 'Councillor'}, {'name': 'VanderBeek, Arlene', 'title': 'Councillor'}, {'name': 'Pasuta, Robert', 'title': 'Councillor'}, {'name': 'Partridge, Judi', 'title': 'Councillor'}, {'name': 'Granat, Simon', 'title': 'Administrative Assistant'}, {'name': 'Cutler, Christopher', 'title': 'Community Relations and Advisor'}, {'name': 'Thorne, Jason', 'title': 'General Manager, Planning and Economic Development'}]"
Lucy Casacia,Vice President Cities and Infrastructure Projects,In-house,Siemens Canada Limited,Active,2016-05-31,2017-05-30,1577 North Service Road East,,Oakville,ON,Canada,L6H 0H6,1577 North Service Road East,,Oakville,ON,Canada,L6H 0H6,Waterfront Revitalization,Expired,"1) Discuss importance of technology for intelligent, sustainable urban infrastructure using Siemens Capabilities (Bldg. Transport, Energy, Security, Data Analytics, Health, Water, Public Transit Wayfinders) and for major city renewal or new development such as new building construction, harbor development, showcasing/referencing previous city solutions, eg. transit oriented city development
2) Planning and Development, Planning Policy/Study Transportation – Metrolinx; Transportation – Roads/Bridges	Complete mobility in the Greater Toronto and Hamilton Area (road, rail and air transport); analysis of current model and future requirements based on projections; 
Siemens capabilities in delivering optimal solutions including e-car infrastructure, and technology for intelligent systems.
3) Technology:	To discuss our industrial automation products and systems
4) Energy:	To discuss our power distribution equipment and systems, energy storage and related services.
5) City Infrastructure – To discuss infrastructure and technology for intelligent systems including traffic congestion management such as Intelligent Traffic Signaling,  city resiliency,  Emergency planning and/or electrical equipment restoration.	
6) Energy:  Digital Cities, Cities of the Future, Smart Cities, Intelligent Cities, Sustainable Cities, Innovation & Resilient Cities & Digital Cities concepts: Energy & Distributed Generation, Health and Safety, Water, Transportation, Digital & Supercomputing architecture, digitalization","[{'name': 'Murray, Chris', 'title': 'City Manager'}, {'name': 'Eisenberger, Fred', 'title': 'Mayor'}, {'name': 'Collins, Chad', 'title': 'Councillor'}, {'name': 'Whitehead, Terry', 'title': 'Councillor'}, {'name': 'Merulla, Sam', 'title': 'Councillor'}, {'name': 'Johnson, Paul', 'title': 'General Manager, Healthy and Safe Communities'}, {'name': 'McKinnon, Dan', 'title': 'General Manager, Public Works'}, {'name': 'McKinney, Andrea', 'title': 'Director, Communications and Intergovernmental Affairs'}, {'name': 'Ferguson, Lloyd', 'title': 'Councillor'}, {'name': 'Farr, Jason', 'title': 'Councillor'}, {'name': 'Thorne, Jason', 'title': 'General Manager, Planning and Economic Development'}, {'name': 'Conley, Doug', 'title': 'Councillor'}, {'name': 'Cutler, Christopher', 'title': 'Community Relations and Advisor'}, {'name': 'Omazic, Drina', 'title': 'Chief of Staff'}]"
David Falletta,Associate,Consultant,Bousfields Inc.,Active,2016-05-20,2017-05-19,3 Church Street,Suite #200,Toronto,ON,Canada,M5E 1M2,20 Eglinton Ave. W.,,Toronto,ON,Canada,M4R 1K8,Planning and Development - Combined Application,Expired,Familiarize Councillor with applications being submitted in support of redevelopment of 47 Forsyth Ave.,"[{'name': 'Johnson, Aidan', 'title': 'Councillor'}]"
Tyler  Ross,President,In-house,Scholar Properties Ltd.,Active,2016-05-12,2017-05-09,#1001 - 20 Eglinton Ave. W.,,Toronto,ON,Canada,M4R1K8,#1001 - Eglinton Ave W.,,Toronto,ON,Canada,M4R 1K8,Real Estate/Property,Expired,Meeting to discuss development site in Ward 1,"[{'name': 'Johnson, Aidan', 'title': 'Councillor'}]"
William Horodecky,Broker/Owner,In-house,Bill Horodecky Real Estate- Brokerage,Active,2016-04-29,2017-04-27,1314 Concession 2 Road,,York,ON,Canada,N0A1R0,1314 Concession 2 Road,,York,ON,Canada,N0A1R0,Attractions/Tourism,Expired,"I'm hoping to talk to Brenda about a small 11 acre farm situated directly across Highway #8 fronting opposite your Stoney Creek branch office/RCMP headquarters. We have had numerous inquiries on the property(which is up for sale) for a multitude of different end uses. The land falls under the umbrella of Greenbelt, Hamilton Conservation Authority and the Niagara Escarpment Commission. We have several ideas that we feel would/might be compatible for the area and would appreciate Brenda's opinions and possibly other suggestions she may offer to send us on the right track. As Councillor for Ward 11 Brenda Johnson's history and experience would be most welcome.","[{'name': 'Johnson, Brenda', 'title': 'Councillor'}]"
Joseph Finkle,Consultant,Consultant,NATIONAL Public Relations,Active,2016-04-21,2017-04-20,81 Metcalfe Street,2nd Floor,Ottawa,ON,Canada,K1P 6K7,"Room C4408, YVR International Terminal Building, 3211 Grant McConachie Way",,Vancouver,BC,Canada,V7B 0A4,Transportation,Expired,To contact and arrange meetings with public office holders with respect to rules and regulations for air carriers under the Canada Transportation Act (CTA),"[{'name': 'Eisenberger, Fred', 'title': 'Mayor'}]"
Joseph Finkle,Consultant,Consultant,NATIONAL Public Relations,Active,2016-04-21,2017-04-20,81 Metcalfe Street,2nd Floor,Ottawa,ON,Canada,K1P 6K7,Suite 1240 - 1140 West Pender Street,,Vancouver,BC,Canada,V6E 4G1,Transportation,Expired,To contact and arrange meetings with public office holders with respect to rules and regulations for air carriers under the Canada Transportation Act (CTA),"[{'name': 'Eisenberger, Fred', 'title': 'Mayor'}]"
Rob McCann,President,In-house,Clearcable Networks,Active,2016-04-15,2016-12-30,7 Innovation Drive,Suite 145,Dundas,ON,Canada,L9H 7H9,7 Innovation Drive,Sutie 145,Dundas,ON,Canada,L9H 7H9,Information Technology,Expired,"Discussions of Intelligent Community initiatives pertaining to ICF Smart Communities efforts, tools for digital citizen engagement including video on demand and livestreaming assets, and ongoing development of community networks.","[{'name': 'Eisenberger, Fred', 'title': 'Mayor'}, {'name': 'Green, Matthew', 'title': 'Councillor'}, {'name': 'Farr, Jason', 'title': 'Councillor'}, {'name': 'Partridge, Judi', 'title': 'Councillor'}]"
Brian Hall,President,In-house,JPS Marketing Inc.,Active,2016-04-06,2017-04-05,460 King Street East,,Toronto,ON,Canada,M5A1L7,460 King Street East,,Toronto,ON,Canada,M5A1L7,Planning and Development - Site Plan,Expired,Discussion of site plan for 3200/3210 Homestead Drive.,"[{'name': 'Johnson, Brenda', 'title': 'Councillor'}]"
Jim Harris,owner,In-house,Knollwood Golf Course,Active,2016-04-06,2017-04-05,1276 Shaver Rd,,Ancaster,ON,Canada,L9G 3L1,1276 Shaver Rd,,Hamilton,ON,Canada,L9G 3L1,Environment,Expired,Asking Tom to present a motion to Council with a proposal sent to the National Energy Board supporting my request that Enbridge Pipeline bring its new line through my property in accordance with its existing easement.,"[{'name': 'Jackson, Tom', 'title': 'Councillor'}]"
Bradley Clark,President,Consultant,Brad Clark& Associates,Active,2016-03-28,2017-03-27,17 Audubon Street South,,Stoney Creek,ON,Canada,L8J 1J6,17 Audubon St South,,Stoney Creek,ON,Canada,L8J 1J6,Affordable Housing,Expired,"affordable home ownership programming, fee exemptions for not for profit housing providers","[{'name': 'Collins, Chad', 'title': 'Councillor'}, {'name': 'Conley, Doug', 'title': 'Councillor'}, {'name': 'Farr, Jason', 'title': 'Councillor'}, {'name': 'Ferguson, Lloyd', 'title': 'Councillor'}, {'name': 'Green, Matthew', 'title': 'Councillor'}, {'name': 'Jackson, Tom', 'title': 'Councillor'}, {'name': 'Johnson, Aidan', 'title': 'Councillor'}, {'name': 'Johnson, Brenda', 'title': 'Councillor'}, {'name': 'Merulla, Sam', 'title': 'Councillor'}, {'name': 'VanderBeek, Arlene', 'title': 'Councillor'}, {'name': 'Pasuta, Robert', 'title': 'Councillor'}, {'name': 'Pearson, Maria', 'title': 'Councillor'}, {'name': 'Partridge, Judi', 'title': 'Councillor'}, {'name': 'Whitehead, Terry', 'title': 'Councillor'}, {'name': 'Eisenberger, Fred', 'title': 'Mayor'}]"
Bradley Clark,President,Consultant,Brad Clark& Associates,Active,2016-03-28,2017-03-27,17 Audubon Street South,,Stoney Creek,ON,Canada,L8J 1J6,17 Audubon St South,,Stoney Creek,ON,Canada,L8J 1J6,Affordable Housing,Expired,"affordable home ownership programming, fee exemptions for not for profit housing providers","[{'name': 'Collins, Chad', 'title': 'Councillor'}, {'name': 'Conley, Doug', 'title': 'Councillor'}, {'name': 'Farr, Jason', 'title': 'Councillor'}, {'name': 'Ferguson, Lloyd', 'title': 'Councillor'}, {'name': 'Green, Matthew', 'title': 'Councillor'}, {'name': 'Jackson, Tom', 'title': 'Councillor'}, {'name': 'Johnson, Aidan', 'title': 'Councillor'}, {'name': 'Johnson, Brenda', 'title': 'Councillor'}, {'name': 'Merulla, Sam', 'title': 'Councillor'}, {'name': 'VanderBeek, Arlene', 'title': 'Councillor'}, {'name': 'Pasuta, Robert', 'title': 'Councillor'}, {'name': 'Pearson, Maria', 'title': 'Councillor'}, {'name': 'Partridge, Judi', 'title': 'Councillor'}, {'name': 'Whitehead, Terry', 'title': 'Councillor'}, {'name': 'Eisenberger, Fred', 'title': 'Mayor'}]"
John Ariens,"Vice Chair but will assume the Chair in June,2016",In-house,Hamilton Habitat for Humanity,Active,2016-03-21,2017-03-20,"285 Nash Road North, Unit 1",,Hamilton,ON,Canada,L8L 7P4,285 Nash Road,,Hamilton,ON,Canada,L8H 7P4,Affordable Housing,Expired,meetings and presentations before committee and staff dealing with Habitat for Humanity building projects and securing municipal approvals and partnerships for affordable housing.,"[{'name': 'Eisenberger, Fred', 'title': 'Mayor'}, {'name': 'Collins, Chad', 'title': 'Councillor'}, {'name': 'Johnson, Brenda', 'title': 'Councillor'}, {'name': 'Partridge, Judi', 'title': 'Councillor'}, {'name': 'Pasuta, Robert', 'title': 'Councillor'}, {'name': 'Farr, Jason', 'title': 'Councillor'}, {'name': 'Green, Matthew', 'title': 'Councillor'}, {'name': 'Johnson, Aidan', 'title': 'Councillor'}, {'name': 'Jackson, Tom', 'title': 'Councillor'}, {'name': 'Whitehead, Terry', 'title': 'Councillor'}, {'name': 'Pearson, Maria', 'title': 'Councillor'}, {'name': 'Conley, Doug', 'title': 'Councillor'}, {'name': 'Merulla, Sam', 'title': 'Councillor'}, {'name': 'VanderBeek, Arlene', 'title': 'Councillor'}, {'name': 'Ferguson, Lloyd', 'title': 'Councillor'}, {'name': 'Thorne, Jason', 'title': 'General Manager, Planning and Economic Development'}, {'name': 'Murray, Chris', 'title': 'City Manager'}]"
George Papas,partner,Consultant,No.16 Hospitality Inc,Active,2016-03-15,2017-03-14,1899 Leslie at,,toronot,ON,Canada,M3B2M3,1899 Leslie at,,toronto,ON,Canada,M3B2M3,Real Estate/Property,Expired,Disussing our proposed site.,"[{'name': 'Farr, Jason', 'title': 'Councillor'}]"
Steve Jones,Owner,Consultant,Elite Contacting,Active,2016-03-09,2017-03-08,60528-661 Upper James Street,,Hamilton,ON,Canada,L9C 1S6,60528-661 Upper James Street,,Hamilton,ON,Canada,L9C 7N7,By-law/Regulation,Expired,To discuss the issue of Uber as a ride sharing entity in direct competition to the licensed taxi industry,"[{'name': 'Collins, Chad', 'title': 'Councillor'}, {'name': 'Conley, Doug', 'title': 'Councillor'}, {'name': 'Johnson, Aidan', 'title': 'Councillor'}, {'name': 'Farr, Jason', 'title': 'Councillor'}, {'name': 'Green, Matthew', 'title': 'Councillor'}, {'name': 'Merulla, Sam', 'title': 'Councillor'}, {'name': 'Jackson, Tom', 'title': 'Councillor'}, {'name': 'Whitehead, Terry', 'title': 'Councillor'}, {'name': 'Pearson, Maria', 'title': 'Councillor'}, {'name': 'Johnson, Brenda', 'title': 'Councillor'}, {'name': 'Ferguson, Lloyd', 'title': 'Councillor'}, {'name': 'VanderBeek, Arlene', 'title': 'Councillor'}, {'name': 'Pasuta, Robert', 'title': 'Councillor'}, {'name': 'Partridge, Judi', 'title': 'Councillor'}, {'name': 'Eisenberger, Fred', 'title': 'Mayor'}]"
Suzanne Mammel,Executive Officer,In-house,Hamilton-Halton Home Builders' Association,Active,2015-08-26,2016-08-25,1112 Rymal Road East,,Hamilton,ON,Canada,L8W 3N7,1112 Rymal Road East,,Hamilton,ON,Canada,L7L 6G8,Economic Development,Expired,"Any and all topics that affect the land development industry, including but not limited to:  land development/planning policies, engineering design, building code issues,  residential construction, renovation, general infrastructure spending, etc.  Topics would include policy, efficiency and financial impacts related to any of the above.

Due to the overarching nature of such lobbying activities, I have elected Economic Development as the subject type, as a number of categories apply.","[{'name': 'Thorne, Jason', 'title': 'General Manager, Planning and Economic Development'}, {'name': 'Murray, Chris', 'title': 'City Manager'}, {'name': 'Zegarac, Mike', 'title': 'General Manager, Finance and Corporate Services'}, {'name': 'Eisenberger, Fred', 'title': 'Mayor'}, {'name': 'Johnson, Aidan', 'title': 'Councillor'}, {'name': 'Farr, Jason', 'title': 'Councillor'}, {'name': 'Green, Matthew', 'title': 'Councillor'}, {'name': 'Merulla, Sam', 'title': 'Councillor'}, {'name': 'Collins, Chad', 'title': 'Councillor'}, {'name': 'Jackson, Tom', 'title': 'Councillor'}, {'name': 'Whitehead, Terry', 'title': 'Councillor'}, {'name': 'Conley, Doug', 'title': 'Councillor'}, {'name': 'Pearson, Maria', 'title': 'Councillor'}, {'name': 'Johnson, Brenda', 'title': 'Councillor'}, {'name': 'Ferguson, Lloyd', 'title': 'Councillor'}, {'name': 'VanderBeek, Arlene', 'title': 'Councillor'}, {'name': 'Pasuta, Robert', 'title': 'Councillor'}, {'name': 'Partridge, Judi', 'title': 'Councillor'}, {'name': 'McKinnon, Dan', 'title': 'General Manager, Public Works'}]"
Frank Notte,Director of Government Relations,In-house,Trillium Automobile Dealers Association,Active,2016-02-26,2017-02-24,85 Renfrew Drive,,Markham,ON,Canada,L3R0N9,85 Renfrew Drive,,Markham,ON,Canada,L3R0N9,Transportation,Expired,Asking Councillors not to support a new tax being considered by the Province of Ontario to allow municipalities the ability to charge a municipal vehicle registration tax or similar tax.,"[{'name': 'Johnson, Brenda', 'title': 'Councillor'}, {'name': 'Ferguson, Lloyd', 'title': 'Councillor'}, {'name': 'Pasuta, Robert', 'title': 'Councillor'}, {'name': 'Partridge, Judi', 'title': 'Councillor'}, {'name': 'Eisenberger, Fred', 'title': 'Mayor'}, {'name': 'Collins, Chad', 'title': 'Councillor'}]"
Leanna Karremans,Account Director – Public Affairs,Consultant,Pathway Group,Active,2016-02-11,2017-02-10,"1 Dundas Street West, Suite 2500",,Toronto,ON,Canada,M5G 1Z3,6020 Indian Line,,Mississauga,ON,Canada,L4V 1G5,Transit,Expired,To discuss intercity transit needs of Hamilton residents,"[{'name': 'Omazic, Drina', 'title': 'Chief of Staff'}, {'name': 'Eisenberger, Fred', 'title': 'Mayor'}, {'name': 'Pasuta, Robert', 'title': 'Councillor'}, {'name': 'VanderBeek, Arlene', 'title': 'Councillor'}]"
Phil Whelan,Vice-President of Public Sector,In-house,McIntosh Perry Consulting Engineers Ltd.,Active,2016-02-17,2017-02-16,2030 Bristol Circle,Suite 209,Suite 209,ON,Canada,L6H 0H2,2030 Bristol Circle,Suite 209,Oakville,ON,Canada,L6H 0H2,Planning and Development - Combined Application,Expired,"Seeking opportunities to market our Bridge and Highway Engineering, Environmental, Municipal, Design Build, Traffic, Landscape, Development Planning and services","[{'name': 'Green, Matthew', 'title': 'Councillor'}]"
Peter Curtis,President,Consultant,Pathway Group,Active,2016-02-16,2017-02-15,1 Dundas Street West,Suite 2500,Toronto,ON,Canada,M5G 1Z3,2500 Appleby Line,Suite 200,Burlington,ON,Canada,L7L0A2,Economic Development,Expired,Discussions regarding Flamborough Power Center development,"[{'name': 'Murray, Chris', 'title': 'City Manager'}]"
Peter Curtis,President,Consultant,Pathway Group,Active,2016-02-16,2017-02-15,1 Dundas Street West,Suite 2500,Toronto,ON,Canada,M5G 1Z3,6020 Indian Line,,Mississauga,ON,Canada,L4V 1G5,Transit,Expired,To discuss intercity transit needs of Hamilton residents,"[{'name': 'Omazic, Drina', 'title': 'Chief of Staff'}, {'name': 'Eisenberger, Fred', 'title': 'Mayor'}]"
Erica Villabroza,Advocate,Consultant,Erica Villabroza,Active,2016-02-16,2017-02-15,4 Harvard Place,,Hamilton,ON,Canada,L9B 1S2,4 Harvard Place,,Hamilton,ON,Canada,L9B 1S2,Garbage/Recycling,Expired,"The process of how the City of Hamilton is getting rid of their waste and in turn where is it making profit from it.
Also, what materials can not be recycled and how the City of Hamilton is getting rid of these materials.","[{'name': 'Eisenberger, Fred', 'title': 'Mayor'}]"
David Falletta,Associate,Consultant,Bousfields Inc.,Active,2016-02-08,2017-02-07,3 Church Street,Suite #200,Toronto,ON,Canada,M5E 1M2,151 Huntingwood Ave.,,Dundas,ON,Canada,L9H 6X7,Planning and Development - Zoning By-law,Expired,"Redevelopment of 63 Parkside Dr., Hamilton","[{'name': 'Partridge, Judi', 'title': 'Councillor'}, {'name': 'VanderBeek, Arlene', 'title': 'Councillor'}]"
Lynda Lukasik,Executive Director,In-house,Environment Hamilton,Active,2016-02-07,2017-02-06,"22 Wilson Street, Suite 4",,Hamilton,ON,Canada,L8R 1C5,"22 Wilson Street, Suite 4",,Hamilton,ON,Canada,L8R 1C5,Environment,Expired,"Adressing committees of council and meeting with Mayor and Councillors individually to discuss environmental issues of concern to Environment Hamilton - a local, not-for-profit environmental organization.","[{'name': 'Eisenberger, Fred', 'title': 'Mayor'}, {'name': 'Johnson, Aidan', 'title': 'Councillor'}, {'name': 'Johnson, Brenda', 'title': 'Councillor'}, {'name': 'Farr, Jason', 'title': 'Councillor'}, {'name': 'Green, Matthew', 'title': 'Councillor'}, {'name': 'Merulla, Sam', 'title': 'Councillor'}, {'name': 'Collins, Chad', 'title': 'Councillor'}, {'name': 'Pearson, Maria', 'title': 'Councillor'}, {'name': 'Conley, Doug', 'title': 'Councillor'}, {'name': 'Jackson, Tom', 'title': 'Councillor'}, {'name': 'Whitehead, Terry', 'title': 'Councillor'}, {'name': 'Ferguson, Lloyd', 'title': 'Councillor'}, {'name': 'Pasuta, Robert', 'title': 'Councillor'}, {'name': 'Partridge, Judi', 'title': 'Councillor'}, {'name': 'VanderBeek, Arlene', 'title': 'Councillor'}]"
Herb Shields,Sr. Community Engagement Strategist,In-house,Enbridge Pipelines Inc.,Active,2016-01-28,2017-01-27,1430 6th Concession Rd. W,,Hamilton,ON,Canada,N0B 1L0,1430 Cormorant Rd.,,Hamilton,ON,Canada,L9G 4V5,Infrastructure,Expired,Provide information regarding the Line 10 Westover Segment Replacement Project.,"[{'name': 'Conley, Doug', 'title': 'Councillor'}, {'name': 'Ferguson, Lloyd', 'title': 'Councillor'}, {'name': 'Pasuta, Robert', 'title': 'Councillor'}, {'name': 'Eisenberger, Fred', 'title': 'Mayor'}, {'name': 'Johnson, Brenda', 'title': 'Councillor'}, {'name': 'Johnson, Aidan', 'title': 'Councillor'}, {'name': 'Pearson, Maria', 'title': 'Councillor'}, {'name': 'Partridge, Judi', 'title': 'Councillor'}, {'name': 'VanderBeek, Arlene', 'title': 'Councillor'}, {'name': 'Farr, Jason', 'title': 'Councillor'}, {'name': 'Whitehead, Terry', 'title': 'Councillor'}]"
Ken Hall,,In-house,Enbridge Pipelines Inc.,,2016-01-18,2017-01-17,,,,,,,1430 Cormorant Road,,Hamilton,ON,Canada,L9G 4V5,Environment,Expired,Providing Mayor and Councilors with information on Enbridge Pipeliens projects and activities in the greater Hamilton region.,"[{'name': 'Eisenberger, Fred', 'title': 'Mayor'}, {'name': 'Pasuta, Robert', 'title': 'Councillor'}, {'name': 'Johnson, Brenda', 'title': 'Councillor'}, {'name': 'Partridge, Judi', 'title': 'Councillor'}]"
Martin Kuplens-Ewart,Lead Organizer,Volunteer,Embrace UX,Active,2016-01-12,2017-01-11,53 Holton Ave South,,Hamilton,ON,Canada,L8M 2L4,53 Holton Ave South,,Hamilton,ON,Canada,L8M 2L4,Economic Development,Expired,Seek support for annual conference.,"[{'name': 'Green, Matthew', 'title': 'Councillor'}, {'name': 'Farr, Jason', 'title': 'Councillor'}, {'name': 'Murray, Chris', 'title': 'City Manager'}]"
Bradley Clark,President,Consultant,Brad Clark& Associates,Active,2016-01-12,2016-07-07,17 Audubon Street South,,Stoney Creek,ON,Canada,L8J 1J6,285 Nash Rd N. Unit 1,,Hamilton,ON,Canada,L8H 7P4,Affordable Housing,Expired,"affordable housing ownership

continuum of housing","[{'name': 'Eisenberger, Fred', 'title': 'Mayor'}, {'name': 'Cutler, Christopher', 'title': 'Community Relations and Advisor'}, {'name': 'Murray, Chris', 'title': 'City Manager'}, {'name': 'Johnson, Paul', 'title': 'General Manager, Healthy and Safe Communities'}]"
Tony Valeri,VP Corporate Affairs,In-house,ArcelorMIttal Dofasco,Active,2015-12-03,2016-12-02,1330 Burlington St E.,,Hamilton,ON,Canada,L8N 3J5,1330 Burlington St E,,Hamilton,ON,Canada,L8N 3J5,Economic Development,Expired,"- sustaining and growing economic opportunities 
- attracting FDI to the steel sector  
- sustaining steel supply chain, automotive supply chains, energy supply chain and general industry
- CIS Vanier Cup","[{'name': 'Murray, Chris', 'title': 'City Manager'}, {'name': 'Eisenberger, Fred', 'title': 'Mayor'}, {'name': 'Johnson, Aidan', 'title': 'Councillor'}, {'name': 'Farr, Jason', 'title': 'Councillor'}, {'name': 'Green, Matthew', 'title': 'Councillor'}, {'name': 'Merulla, Sam', 'title': 'Councillor'}, {'name': 'Collins, Chad', 'title': 'Councillor'}, {'name': 'Jackson, Tom', 'title': 'Councillor'}, {'name': 'Duvall, Scott', 'title': 'Councillor'}, {'name': 'Whitehead, Terry', 'title': 'Councillor'}, {'name': 'Conley, Doug', 'title': 'Councillor'}, {'name': 'Pearson, Maria', 'title': 'Councillor'}, {'name': 'Johnson, Brenda', 'title': 'Councillor'}, {'name': 'Ferguson, Lloyd', 'title': 'Councillor'}, {'name': 'VanderBeek, Arlene', 'title': 'Councillor'}, {'name': 'Pasuta, Robert', 'title': 'Councillor'}, {'name': 'Partridge, Judi', 'title': 'Councillor'}]"
Alan Hansell,Executive Director,In-house,Stewards of Cootes Watershed,Active,2015-11-29,2016-11-28,295 Hamilton Drive,,Hamilton,ON,Canada,L9G2A9,295 Hamilton Drive,,Hamilton,ON,Canada,L9G2A9,Environment,Expired,To advance our program of grassroots community cleanups of Hamilton's watersheds,"[{'name': 'VanderBeek, Arlene', 'title': 'Councillor'}, {'name': 'Johnson, Aidan', 'title': 'Councillor'}, {'name': 'Ferguson, Lloyd', 'title': 'Councillor'}, {'name': 'Whitehead, Terry', 'title': 'Councillor'}, {'name': 'Pasuta, Robert', 'title': 'Councillor'}, {'name': 'Partridge, Judi', 'title': 'Councillor'}, {'name': 'Collins, Chad', 'title': 'Councillor'}, {'name': 'Jackson, Tom', 'title': 'Councillor'}, {'name': 'Merulla, Sam', 'title': 'Councillor'}, {'name': 'Conley, Doug', 'title': 'Councillor'}, {'name': 'Johnson, Brenda', 'title': 'Councillor'}, {'name': 'Farr, Jason', 'title': 'Councillor'}, {'name': 'Green, Matthew', 'title': 'Councillor'}, {'name': 'Pearson, Maria', 'title': 'Councillor'}, {'name': 'Eisenberger, Fred', 'title': 'Mayor'}, {'name': 'Murray, Chris', 'title': 'City Manager'}, {'name': 'McKinnon, Dan', 'title': 'General Manager, Public Works'}]"
Larry Di Ianni,Owner,Consultant,LDi Consulting,Active,2015-11-27,2016-11-26,21 King St. W,5th Floor,Hamilton,ON,Canada,L8P 4W7,7-45 Frid St.,,Hamilton,ON,Canada,L8P 4M3,Planning and Development - Combined Application,Expired,Development Issues related to467 Charlton Ave.,"[{'name': 'Farr, Jason', 'title': 'Councillor'}, {'name': 'Eisenberger, Fred', 'title': 'Mayor'}, {'name': 'Murray, Chris', 'title': 'City Manager'}, {'name': 'Merulla, Sam', 'title': 'Councillor'}]"
Larry Di Ianni,Owner,Consultant,LDi Consulting,Active,2015-11-27,2016-11-26,21 King St. W,5th Floor,Hamilton,ON,Canada,L8P 4W7,483 Speers Road,,Oakville,ON,Canada,L8K 2G4,Planning and Development - Combined Application,Expired,Licensing and planning approvals,"[{'name': 'Thorne, Jason', 'title': 'General Manager, Planning and Economic Development'}, {'name': 'Johnson, Aidan', 'title': 'Councillor'}, {'name': 'Farr, Jason', 'title': 'Councillor'}, {'name': 'Merulla, Sam', 'title': 'Councillor'}, {'name': 'Collins, Chad', 'title': 'Councillor'}, {'name': 'Green, Matthew', 'title': 'Councillor'}, {'name': 'Jackson, Tom', 'title': 'Councillor'}, {'name': 'Whitehead, Terry', 'title': 'Councillor'}, {'name': 'Conley, Doug', 'title': 'Councillor'}, {'name': 'Pearson, Maria', 'title': 'Councillor'}, {'name': 'Johnson, Brenda', 'title': 'Councillor'}, {'name': 'Ferguson, Lloyd', 'title': 'Councillor'}, {'name': 'Pasuta, Robert', 'title': 'Councillor'}, {'name': 'VanderBeek, Arlene', 'title': 'Councillor'}, {'name': 'Partridge, Judi', 'title': 'Councillor'}, {'name': 'Eisenberger, Fred', 'title': 'Mayor'}]"
